  TT  PID   AT IO_D   WT   RT  TRT
3964 1487 3695    0  187  187  269 
3974 1569 3897    0    0    0   77 
3989 1559 3880    0   65   65  109 
3992 1547 3844    0   85   85  148 
3993 1566 3892    0    7    7  101 
3996   42   87   11 3817    0 3909 
4000 1588 3955    0   34   34   45 
4012 1572 3912    0    0    0  100 
4016  635 1587    2 2413    0 2429 
4019  716 1782    6 2189    0 2237 
4030 1582 3934    0   11   11   96 
4063 1603 3990    0    3    3   73 
4072  625 1556    8 2434   33 2516 
4075 1619 4031    0    0    0   44 
4086 1597 3975    0    7    7  111 
4086 1568 3892    0  104  104  194 
4090  512 1297    6 2699   10 2793 
4092 1601 3987    0    7    7  105 
4108 1605 4000    0   90   90  108 
4116 1596 3971    0   80   80  145 
4118 1599 3982    0   55   55  136 
4119  296  774    4 3328  170 3345 
4120 1632 4062    0    1    1   58 
4120 1636 4073    0    7    7   47 
4127 1643 4093    0    0    0   34 
4153 1606 4004    0  104  104  149 
4161 1628 4055    0   20   20  106 
4163  230  592   31 3512    0 3571 
4166  797 1973    0 2174  244 2193 
4170  143  353    5 3775    4 3817 
4172 1662 4148    0    0    0   24 
4172  919 2271    0 1883  216 1901 
4178  259  675   13 3436    0 3503 
4192 1646 4100    0   17   17   92 
4202 1654 4121    0    0    0   81 
4207  430 1125    9 3007    0 3082 
4226  723 1796    4 2327    6 2430 
4227 1562 3885    0  244  244  342 
4229   82  193    1 3950    0 4036 
4232  253  655   26 3569   14 3577 
4239 1483 3690    0  454  454  549 
4242  552 1388    4 2775    0 2854 
4245  353  917    0 3283   79 3328 
4247 1682 4197    0    4    4   50 
4272 1661 4145    0  100  100  127 
4273 1670 4170    0    8    8  103 
4275  205  514    9 3717   14 3761 
4276 1676 4187    0   45   45   89 
4279  246  636   10 3613   57 3643 
4281  557 1399   10 2867    0 2882 
4284  889 2194    0 2073  299 2090 
4290  549 1381    0 2879  145 2909 
4312  114  270   32 4007   71 4042 
4319 1713 4276    0    0    0   43 
4325 1718 4292    0    0    0   33 
4332 1699 4238    0    0    0   94 
4335 1709 4260    0   16   16   75 
4355  764 1908    6 2394    0 2447 
4359  517 1308    3 2964    0 3051 
4381 1724 4309    0   26   26   72 
4383 1754 4375    0    3    3    8 
4386 1717 4288    0   34   34   98 
4398 1738 4336    0   24   24   62 
4399 1554 3867    0  433  433  532 
4401  766 1911    5 2458   12 2490 
4402  519 1314    0 3057  164 3088 
4404 1730 4323    0    0    0   81 
4404   91  217   31 4133    0 4187 
4407 1756 4376    0    5    5   31 
4408 1675 4183    0  152  152  225 
4408 1762 4393    0    2    2   15 
4408  603 1505    0 2873  202 2903 
4436 1722 4307    0   99   99  129 
4439 1755 4375    0   33   33   64 
4454 1752 4366    0   10   10   88 
4459 1759 4386    0   21   21   73 
4464  930 2305    0 2142  253 2159 
4465 1726 4311    0  125  125  154 
4476 1792 4463    0    0    0   13 
4497 1798 4485    0    0    0   12 
4501 1308 3244    0 1247  325 1257 
4516 1763 4397    0   30   30  119 
4526 1727 4314    0  162  162  212 
4529 1786 4448    0    1    1   81 
4534 1793 4464    0   12   12   70 
4537 1782 4437    0   22   22  100 
4538 1791 4458    0    8    8   80 
4551  102  243   26 4252   25 4308 
4554  598 1496    9 3050  219 3058 
4569 1799 4489    0   21   21   80 
4572  461 1186   30 3369   66 3386 
4578 1813 4536    0    0    0   42 
4592 1808 4517    0   55   55   75 
4601 1826 4571    0   11   11   30 
4613 1836 4585    0    7    7   28 
4622 1821 4557    0    5    5   65 
4624 1614 4021    0  507  507  603 
4626  239  619   22 3977   72 4007 
4637 1834 4580    0   12   12   57 
4637  789 1961    9 2663   40 2676 
4639  619 1544    3 3090  167 3095 
4656  644 1609    0 3019  253 3047 
4657 1839 4595    0   24   24   62 
4664  787 1953    6 2681   59 2711 
4668  543 1364    8 3290   22 3304 
4681  171  435   34 4198    8 4246 
4681 1832 4576    0   61   61  105 
4691 1847 4618    0    0    0   73 
4693 1837 4589    0    0    0  104 
4693 1842 4602    0    0    0   91 
4704 1850 4628    0    9    9   76 
4714 1865 4669    0   20   20   45 
4717  633 1579    0 3109  172 3138 
4726 1861 4657    0   24   24   69 
4744 1862 4660    0    4    4   84 
4750 1856 4643    0   54   54  107 
4752 1893 4734    0    1    1   18 
4770 1877 4692    0   19   19   78 
4774 1882 4706    0    1    1   68 
4798 1878 4696    0    0    0  102 
4808 1874 4691    0   13   13  117 
4815 1855 4643    0   83   83  172 
4817 1909 4778    0    0    0   39 
4834 1859 4650    0  100  100  184 
4845 1908 4774    0    0    0   71 
4855 1904 4762    0   17   17   93 
4859 1191 2970    0 1875  287 1889 
4863  424 1104    4 3740  151 3759 
4864  149  371    1 4419   48 4493 
4870 1934 4840    0   13   13   30 
4874 1914 4795    0    0    0   79 
4877 1939 4856    0    8    8   21 
4897  207  524   28 4328    0 4373 
